Time [h],SOC,SOH,Temperature (°C),Resistance (Ohm)
0.0,0.9799999999999996,100.00000000000003,-2.2737367544323206e-13,0.0003637434567212145
0.016666666666666666,0.9729568589438731,99.99765422524314,0.23879711875378007,0.0003683798680882236
0.03333333333333333,0.9688699665188243,99.99503273596056,0.4736444135597253,0.0003730365317061934
0.05,0.9651085011428367,99.9922117377759,0.7034173119715774,0.0003776843999566469
0.06666666666666667,0.9614398871965906,99.98921020905267,0.9282729766687794,0.0003823225339203149
0.08333333333333333,0.9577974930276207,99.9860369671685,1.1485136466940276,0.00038695379723069123
0.1,0.9541610215417062,99.98269826283102,1.364414717392492,0.00039158100624785624
0.11666666666666667,0.9505244677188577,99.97919955188897,1.576214476941459,0.00039620652421591993
0.13333333333333333,0.9468861543794718,99.97554598408976,1.7841214139589283,0.00040083231336728205
0.15,0.9432458186564058,99.97174255399412,1.9883209212621296,0.00040546007368765197
0.16666666666666666,0.9396035874523178,99.96779356355168,2.1889649293364073,0.0004100908285796635
0.18333333333333332,0.935959691241792,99.96370527744442,2.386240830442773,0.0004147263937834526
0.2,0.9323143074196005,99.95948167764084,2.5802684302411762,0.0004193674807424374
0.21666666666666667,0.9286675909284294,99.95512744600013,2.7711779223554913,0.0004240149884316142
0.23333333333333334,0.9250196575823172,99.95064729116405,2.959095014795537,0.0004286697775474895
0.25,0.9213705824799425,99.94604590459465,3.1441410848999567,0.00043333267448046424
0.26666666666666666,0.9177204040249188,99.94132795984977,3.3264339703383143,0.00043800449442669216
0.2833333333333333,0.9140691263840276,99.93649801097243,3.506085413201845,0.00044268598964424975
0.3,0.910416725831168,99.93156055759073,3.683202157737128,0.0004473780225983439
0.31666666666666665,0.9067631363331929,99.92651841215005,3.857845780550292,0.0004520802122247683
0.3333333333333333,0.9031083244482734,99.92137939865094,4.030191018609628,0.00045679463107377793
0.35,0.89945218173089,99.91614608580178,4.200282463324754,0.0004615210004898867
0.36666666666666664,0.8957946034533093,99.91082258111717,4.36819579091906,0.00046625954804752355
0.38333333333333336,0.892135463531308,99.90541317892357,4.534005180237443,0.00047101048956664434
0.4,0.8884746255109631,99.89992199448878,4.697778278097758,0.0004757739499667981
0.4166666666666667,0.8848119447796283,99.89435300437259,4.859578598895666,0.0004805500063898975
0.43333333333333335,0.8811472715077445,99.88871006584581,5.019467232306567,0.0004853387235670031
0.45,0.8774804539088805,99.88299690564136,5.177503481583301,0.000490140273541189
0.4666666666666667,0.8738113072111565,99.8772161275788,5.3337178133149905,0.000494953984170388
0.48333333333333334,0.8701397491525014,99.8713733284182,5.488223771075354,0.0004997811551971628
0.5,0.8664656076184967,99.86547063083717,5.641045079006005,0.000504621311002371
0.5166666666666667,0.8627887538559791,99.8595111283307,5.792233156905752,0.0005094745145694036
0.5333333333333333,0.8591090579565134,99.85349796711378,5.941840348001449,0.0005143408826030593
0.55,0.8554264024656034,99.84743408629976,6.089915682048456,0.0005192204789531307
0.5666666666666667,0.8517406711339627,99.84132253893686,6.236510133859781,0.0005241135021688473
0.5833333333333334,0.8480517831868717,99.83516560584138,6.381661629950202,0.0005290199132752134
0.6,0.8443596571178046,99.82896577834791,6.525411529299333,0.0005339400844745156
0.6166666666666667,0.8406640089309879,99.8227225207792,6.667703581478463,0.0005388713658921504
0.6333333333333333,0.8369652159777632,99.81644380095132,6.808763797112306,0.0005438180860948881
0.65,0.833262995947826,99.81012921437228,6.948537832584407,0.0005487783657239724
0.6666666666666666,0.8295573207881769,99.80378050997277,7.0870546348743915,0.0005537521207234209
0.6833333333333333,0.8258481627101439,99.79739962834573,7.2243456969750355,0.0005587393517909249
0.7,0.8221355083527453,99.79098821569127,7.360437816115564,0.000563739973157506
0.7166666666666667,0.8184193477434855,99.78454800051648,7.495359009104277,0.0005687539206715629
0.7333333333333333,0.814699674012734,99.77808077653336,7.629138270101123,0.0005737811868129342
0.75,0.8109764930581657,99.77158807779591,7.7618003641107975,0.0005788218960108983
0.7666666666666667,0.8072495567582705,99.76506972826522,7.893289887478659,0.0005838736584455352
0.7833333333333333,0.8035194019307754,99.75853050240696,8.023788100555748,0.0005889403923066904
0.8,0.7997858040789179,99.75197014283327,8.153240376481392,0.0005940202109590458
0.8166666666666667,0.7960487859480788,99.74538969122274,8.28166317576705,0.0005991129484358055
0.8333333333333334,0.7923083792349657,99.73879027029497,8.409075076121724,0.0006042184972749455
0.85,0.7885646198705525,99.7321729477612,8.53549400707675,0.0006093367541621749
0.8666666666666667,0.7848175437241479,99.72553870988001,8.66093666518077,0.0006144675870831521
0.8833333333333333,0.7810671912838839,99.7188886207936,8.785421207990339,0.0006196109057804252
0.9,0.7773136066477444,99.7122236967331,8.90896514835157,0.0006247667566907322
0.9166666666666666,0.7735565802775933,99.70554381071685,9.031511804103673,0.0006299328362290229
0.9333333333333333,0.7697966544206283,99.69885188811024,9.15321980820778,0.0006351129691891906
0.95,0.7660336463968884,99.69214783614315,9.274038767374407,0.0006403053040763112
0.9666666666666667,0.7622676006016424,99.68543256739645,9.393984069327587,0.0006455097918228054
0.9833333333333333,0.758498542861396,99.678706527245,9.513064348029275,0.0006507262386717869
1.0,0.7547265039115749,99.67197025702222,9.631289920998597,0.0006559544348394107
1.0166666666666666,0.750951542740909,99.66522472136731,9.748680806501625,0.0006611945123280713
1.0333333333333334,0.747173668039032,99.65847006882179,9.86524010561834,0.0006664461289350805
1.05,0.7433929263597532,99.65170708941758,9.980984234869595,0.0006717094350438968
1.0666666666666667,0.7396089445125811,99.64493522543006,10.095811285862283,0.0006769808861643781
